year,region,landuse,area_ha
2002,Area Outside Region,Beef,13139.98011
2002,Area Outside Region,Dairy,14.7011401
2002,Area Outside Region,Other livestock,134.1185849
2002,Area Outside Region,Sheep,14561.70016
2002,Auckland,Beef,100772.3595
2002,Auckland,Dairy,41165.3218
2002,Auckland,Other livestock,10008.33085
2002,Auckland,Sheep,33726.98783
2002,Bay of Plenty,Beef,85235.83627
2002,Bay of Plenty,Dairy,78932.71412
2002,Bay of Plenty,Other livestock,7095.043991
2002,Bay of Plenty,Sheep,44227.30562
2002,Canterbury,Beef,733340.8012
2002,Canterbury,Dairy,113443.6303
2002,Canterbury,Other livestock,38256.15213
2002,Canterbury,Sheep,1654387.416
2002,Gisborne,Beef,219913.7078
2002,Gisborne,Dairy,2973.161029
2002,Gisborne,Other livestock,4597.846403
2002,Gisborne,Sheep,162310.2847
2002,Hawke's Bay,Beef,328772.3495
2002,Hawke's Bay,Dairy,18903.77294
2002,Hawke's Bay,Other livestock,9284.657978
2002,Hawke's Bay,Sheep,330996.4196
2002,Manawatu-Whanganui,Beef,450641.8078
2002,Manawatu-Whanganui,Dairy,106790.3427
2002,Manawatu-Whanganui,Other livestock,13428.62887
2002,Manawatu-Whanganui,Sheep,590386.0207
2002,Marlborough,Beef,279344.0826
2002,Marlborough,Dairy,8199.138854
2002,Marlborough,Other livestock,3306.755654
2002,Marlborough,Sheep,224698.0229
2002,Nelson,Beef,1824.313978
2002,Nelson,Dairy,400.933832
2002,Nelson,Other livestock,249.7732022
2002,Nelson,Sheep,1444.378988
2002,Northland,Beef,310688.3223
2002,Northland,Dairy,126277.4705
2002,Northland,Other livestock,7861.720616
2002,Northland,Sheep,49121.38664
2002,Otago,Beef,511797.3155
2002,Otago,Dairy,53474.3654
2002,Otago,Other livestock,13853.97044
2002,Otago,Sheep,1446718.249
2002,Southland,Beef,216875.3054
2002,Southland,Dairy,88108.7812
2002,Southland,Other livestock,9931.123821
2002,Southland,Sheep,644667.2896
2002,Taranaki,Beef,98563.41564
2002,Taranaki,Dairy,144990.6837
2002,Taranaki,Other livestock,9511.238939
2002,Taranaki,Sheep,85651.26169
2002,Tasman,Beef,40754.73165
2002,Tasman,Dairy,18867.03805
2002,Tasman,Other livestock,2356.020662
2002,Tasman,Sheep,44001.00964
2002,Waikato,Beef,412334.0564
2002,Waikato,Dairy,351450.8872
2002,Waikato,Other livestock,35820.54261
2002,Waikato,Sheep,254096.3137
2002,Wellington,Beef,121742.907
2002,Wellington,Dairy,31018.56104
2002,Wellington,Other livestock,5141.782035
2002,Wellington,Sheep,180841.75
2002,West Coast,Beef,52381.20743
2002,West Coast,Dairy,45472.16106
2002,West Coast,Other livestock,3277.81204
