Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Unit,Value,Flag,Flag Description
QV,Value of Agricultural Production,554,New Zealand,152,Gross Production Value (constant 2014-2016 thousand I$),1341,Apples,2000,2000,1000 Int$,292641,E,Estimated value
QV,Value of Agricultural Production,554,New Zealand,152,Gross Production Value (constant 2014-2016 thousand I$),1341,Apples,2001,2001,1000 Int$,223599,E,Estimated value
QV,Value of Agricultural Production,554,New Zealand,152,Gross Production Value (constant 2014-2016 thousand I$),1341,Apples,2002,2002,1000 Int$,250460,E,Estimated value
QV,Value of Agricultural Production,554,New Zealand,152,Gross Production Value (constant 2014-2016 thousand I$),1341,Apples,2003,2003,1000 Int$,236563,E,Estimated value
QV,Value of Agricultural Production,554,New Zealand,152,Gross Production Value (constant 2014-2016 thousand I$),1341,Apples,2004,2004,1000 Int$,257713,E,Estimated value
QV,Value of Agricultural Production,554,New Zealand,152,Gross Production Value (constant 2014-2016 thousand I$),1341,Apples,2005,2005,1000 Int$,247329,E,Estimated value
QV,Value of Agricultural Production,554,New Zealand,152,Gross Production Value (constant 2014-2016 thousand I$),1341,Apples,2006,2006,1000 Int$,167089,E,Estimated value
QV,Value of Agricultural Production,554,New Zealand,152,Gross Production Value (constant 2014-2016 thousand I$),1341,Apples,2007,2007,1000 Int$,198713,E,Estimated value
QV,Value of Agricultural Production,554,New Zealand,152,Gross Production Value (constant 2014-2016 thousand I$),1341,Apples,2008,2008,1000 Int$,210513,E,Estimated value
QV,Value of Agricultural Production,554,New Zealand,152,Gross Production Value (constant 2014-2016 thousand I$),1341,Apples,2009,2009,1000 Int$,203433,E,Estimated value
QV,Value of Agricultural Production,554,New Zealand,152,Gross Production Value (constant 2014-2016 thousand I$),1341,Apples,2010,2010,1000 Int$,209641,E,Estimated value
QV,Value of Agricultural Production,554,New Zealand,152,Gross Production Value (constant 2014-2016 thousand I$),1341,Apples,2011,2011,1000 Int$,207406,E,Estimated value
QV,Value of Agricultural Production,554,New Zealand,152,Gross Production Value (constant 2014-2016 thousand I$),1341,Apples,2012,2012,1000 Int$,206315,E,Estimated value
QV,Value of Agricultural Production,554,New Zealand,152,Gross Production Value (constant 2014-2016 thousand I$),1341,Apples,2013,2013,1000 Int$,209653,E,Estimated value
QV,Value of Agricultural Production,554,New Zealand,152,Gross Production Value (constant 2014-2016 thousand I$),1341,Apples,2014,2014,1000 Int$,231281,E,Estimated value
QV,Value of Agricultural Production,554,New Zealand,152,Gross Production Value (constant 2014-2016 thousand I$),1341,Apples,2015,2015,1000 Int$,254881,E,Estimated value
QV,Value of Agricultural Production,554,New Zealand,152,Gross Production Value (constant 2014-2016 thousand I$),1341,Apples,2016,2016,1000 Int$,259601,E,Estimated value
QV,Value of Agricultural Production,554,New Zealand,152,Gross Production Value (constant 2014-2016 thousand I$),1341,Apples,2017,2017,1000 Int$,221841,E,Estimated value
QV,Value of Agricultural Production,554,New Zealand,152,Gross Production Value (constant 2014-2016 thousand I$),1341,Apples,2018,2018,1000 Int$,226561,E,Estimated value
QV,Value of Agricultural Production,554,New Zealand,152,Gross Production Value (constant 2014-2016 thousand I$),1341,Apples,2019,2019,1000 Int$,262580,E,Estimated value
QV,Value of Agricultural Production,554,New Zealand,152,Gross Production Value (constant 2014-2016 thousand I$),1341,Apples,2020,2020,1000 Int$,267539,E,Estimated value
QV,Value of Agricultural Production,554,New Zealand,152,Gross Production Value (constant 2014-2016 thousand I$),1341,Apples,2021,2021,1000 Int$,268871,E,Estimated value
QV,Value of Agricultural Production,554,New Zealand,152,Gross Production Value (constant 2014-2016 thousand I$),1341,Apples,2022,2022,1000 Int$,273177,E,Estimated value
QV,Value of Agricultural Production,554,New Zealand,152,Gross Production Value (constant 2014-2016 thousand I$),1341,Apples,2023,2023,1000 Int$,276652,E,Estimated value
QV,Value of Agricultural Production,554,New Zealand,56,Gross Production Value (current thousand SLC),1341,Apples,2000,2000,1000 SLC,186620,A,Official figure
QV,Value of Agricultural Production,554,New Zealand,56,Gross Production Value (current thousand SLC),1341,Apples,2001,2001,1000 SLC,192333,A,Official figure
QV,Value of Agricultural Production,554,New Zealand,56,Gross Production Value (current thousand SLC),1341,Apples,2002,2002,1000 SLC,403281,A,Official figure
QV,Value of Agricultural Production,554,New Zealand,56,Gross Production Value (current thousand SLC),1341,Apples,2003,2003,1000 SLC,340811,A,Official figure
QV,Value of Agricultural Production,554,New Zealand,56,Gross Production Value (current thousand SLC),1341,Apples,2004,2004,1000 SLC,232050,A,Official figure
QV,Value of Agricultural Production,554,New Zealand,56,Gross Production Value (current thousand SLC),1341,Apples,2005,2005,1000 SLC,157200,A,Official figure
QV,Value of Agricultural Production,554,New Zealand,56,Gross Production Value (current thousand SLC),1341,Apples,2006,2006,1000 SLC,212400,A,Official figure
QV,Value of Agricultural Production,554,New Zealand,56,Gross Production Value (current thousand SLC),1341,Apples,2007,2007,1000 SLC,246285,A,Official figure
QV,Value of Agricultural Production,554,New Zealand,56,Gross Production Value (current thousand SLC),1341,Apples,2008,2008,1000 SLC,356800,A,Official figure
