Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
QCL,Crops and livestock products,554,New Zealand,5312,Area harvested,1341,Apples,2000,2000,ha,14114,A,Official figure,
QCL,Crops and livestock products,554,New Zealand,5510,Production,1341,Apples,2000,2000,t,620000,A,Official figure,
QCL,Crops and livestock products,554,New Zealand,5312,Area harvested,1341,Apples,2001,2001,ha,12915,A,Official figure,
QCL,Crops and livestock products,554,New Zealand,5510,Production,1341,Apples,2001,2001,t,473726,A,Official figure,
QCL,Crops and livestock products,554,New Zealand,5312,Area harvested,1341,Apples,2002,2002,ha,11717,A,Official figure,
QCL,Crops and livestock products,554,New Zealand,5510,Production,1341,Apples,2002,2002,t,530633,A,Official figure,
QCL,Crops and livestock products,554,New Zealand,5312,Area harvested,1341,Apples,2003,2003,ha,12150,A,Official figure,
QCL,Crops and livestock products,554,New Zealand,5510,Production,1341,Apples,2003,2003,t,501192,A,Official figure,
QCL,Crops and livestock products,554,New Zealand,5312,Area harvested,1341,Apples,2004,2004,ha,10934,A,Official figure,
QCL,Crops and livestock products,554,New Zealand,5510,Production,1341,Apples,2004,2004,t,546000,A,Official figure,
QCL,Crops and livestock products,554,New Zealand,5312,Area harvested,1341,Apples,2005,2005,ha,10982,A,Official figure,
QCL,Crops and livestock products,554,New Zealand,5510,Production,1341,Apples,2005,2005,t,524000,A,Official figure,
QCL,Crops and livestock products,554,New Zealand,5312,Area harvested,1341,Apples,2006,2006,ha,9720,A,Official figure,
QCL,Crops and livestock products,554,New Zealand,5510,Production,1341,Apples,2006,2006,t,354000,A,Official figure,
QCL,Crops and livestock products,554,New Zealand,5312,Area harvested,1341,Apples,2007,2007,ha,9247,A,Official figure,
QCL,Crops and livestock products,554,New Zealand,5510,Production,1341,Apples,2007,2007,t,421000,A,Official figure,
QCL,Crops and livestock products,554,New Zealand,5312,Area harvested,1341,Apples,2008,2008,ha,8832,A,Official figure,
QCL,Crops and livestock products,554,New Zealand,5510,Production,1341,Apples,2008,2008,t,446000,A,Official figure,
QCL,Crops and livestock products,554,New Zealand,5312,Area harvested,1341,Apples,2009,2009,ha,9284,A,Official figure,
QCL,Crops and livestock products,554,New Zealand,5510,Production,1341,Apples,2009,2009,t,431000,A,Official figure,
QCL,Crops and livestock products,554,New Zealand,5312,Area harvested,1341,Apples,2010,2010,ha,9380,I,Imputed value,
QCL,Crops and livestock products,554,New Zealand,5510,Production,1341,Apples,2010,2010,t,444153.66,I,Imputed value,
QCL,Crops and livestock products,554,New Zealand,5312,Area harvested,1341,Apples,2011,2011,ha,8995,A,Official figure,
QCL,Crops and livestock products,554,New Zealand,5510,Production,1341,Apples,2011,2011,t,439418.24,I,Imputed value,
QCL,Crops and livestock products,554,New Zealand,5312,Area harvested,1341,Apples,2012,2012,ha,8845,A,Official figure,
QCL,Crops and livestock products,554,New Zealand,5510,Production,1341,Apples,2012,2012,t,437107.15,I,Imputed value,
QCL,Crops and livestock products,554,New Zealand,5312,Area harvested,1341,Apples,2013,2013,ha,8884,I,Imputed value,
QCL,Crops and livestock products,554,New Zealand,5510,Production,1341,Apples,2013,2013,t,444177.69,I,Imputed value,
QCL,Crops and livestock products,554,New Zealand,5312,Area harvested,1341,Apples,2014,2014,ha,8417,A,Official figure,
QCL,Crops and livestock products,554,New Zealand,5510,Production,1341,Apples,2014,2014,t,490000,E,Estimated value,
QCL,Crops and livestock products,554,New Zealand,5312,Area harvested,1341,Apples,2015,2015,ha,9999,I,Imputed value,
QCL,Crops and livestock products,554,New Zealand,5510,Production,1341,Apples,2015,2015,t,540000,E,Estimated value,
QCL,Crops and livestock products,554,New Zealand,5312,Area harvested,1341,Apples,2016,2016,ha,10115,I,Imputed value,
QCL,Crops and livestock products,554,New Zealand,5510,Production,1341,Apples,2016,2016,t,550000,E,Estimated value,
QCL,Crops and livestock products,554,New Zealand,5312,Area harvested,1341,Apples,2017,2017,ha,8615,A,Official figure,
QCL,Crops and livestock products,554,New Zealand,5510,Production,1341,Apples,2017,2017,t,470000,E,Estimated value,
QCL,Crops and livestock products,554,New Zealand,5312,Area harvested,1341,Apples,2018,2018,ha,8588,I,Imputed value,
QCL,Crops and livestock products,554,New Zealand,5510,Production,1341,Apples,2018,2018,t,480000,E,Estimated value,
QCL,Crops and livestock products,554,New Zealand,5312,Area harvested,1341,Apples,2019,2019,ha,9761,A,Official figure,
QCL,Crops and livestock products,554,New Zealand,5510,Production,1341,Apples,2019,2019,t,556312.46,I,Imputed value,
QCL,Crops and livestock products,554,New Zealand,5312,Area harvested,1341,Apples,2020,2020,ha,9789,A,Official figure,
QCL,Crops and livestock products,554,New Zealand,5510,Production,1341,Apples,2020,2020,t,566818.24,I,Imputed value,
QCL,Crops and livestock products,554,New Zealand,5312,Area harvested,1341,Apples,2021,2021,ha,9789,A,Official figure,
QCL,Crops and livestock products,554,New Zealand,5510,Production,1341,Apples,2021,2021,t,569640.36,I,Imputed value,
QCL,Crops and livestock products,554,New Zealand,5312,Area harvested,1341,Apples,2022,2022,ha,9811,A,Official figure,
QCL,Crops and livestock products,554,New Zealand,5510,Production,1341,Apples,2022,2022,t,578763.54,I,Imputed value,
QCL,Crops and livestock products,554,New Zealand,5312,Area harvested,1341,Apples,2023,2023,ha,9811,A,Official figure,
QCL,Crops and livestock products,554,New Zealand,5510,Production,1341,Apples,2023,2023,t,586125.21,I,Imputed value,
QCL,Crops and livestock products,554,New Zealand,5312,Area harvested,1343,Apricots,2000,2000,ha,759,A,Official figure,
QCL,Crops and livestock products,554,New Zealand,5510,Production,1343,Apricots,2000,2000,t,7400,A,Official figure,
QCL,Crops and livestock products,554,New Zealand,5312,Area harvested,1343,Apricots,2001,2001,ha,697,A,Official figure,
QCL,Crops and livestock products,554,New Zealand,5510,Production,1343,Apricots,2001,2001,t,6000,A,Official figure,
QCL,Crops and livestock products,554,New Zealand,5312,Area harvested,1343,Apricots,2002,2002,ha,636,A,Official figure,
QCL,Crops and livestock products,554,New Zealand,5510,Production,1343,Apricots,2002,2002,t,7000,A,Official figure,
QCL,Crops and livestock products,554,New Zealand,5312,Area harvested,1343,Apricots,2003,2003,ha,597,A,Official figure,
QCL,Crops and livestock products,554,New Zealand,5510,Production,1343,Apricots,2003,2003,t,4500,A,Official figure,
QCL,Crops and livestock products,554,New Zealand,5312,Area harvested,1343,Apricots,2004,2004,ha,590,A,Official figure,
QCL,Crops and livestock products,554,New Zealand,5510,Production,1343,Apricots,2004,2004,t,3914,A,Official figure,
QCL,Crops and livestock products,554,New Zealand,5312,Area harvested,1343,Apricots,2005,2005,ha,480,A,Official figure,
QCL,Crops and livestock products,554,New Zealand,5510,Production,1343,Apricots,2005,2005,t,3678,A,Official figure,
QCL,Crops and livestock products,554,New Zealand,5312,Area harvested,1343,Apricots,2006,2006,ha,500,E,Estimated value,
QCL,Crops and livestock products,554,New Zealand,5510,Production,1343,Apricots,2006,2006,t,3700,E,Estimated value,
QCL,Crops and livestock products,554,New Zealand,5312,Area harvested,1343,Apricots,2007,2007,ha,457,A,Official figure,
QCL,Crops and livestock products,554,New Zealand,5510,Production,1343,Apricots,2007,2007,t,3500,E,Estimated value,
QCL,Crops and livestock products,554,New Zealand,5312,Area harvested,1343,Apricots,2008,2008,ha,450,E,Estimated value,
QCL,Crops and livestock products,554,New Zealand,5510,Production,1343,Apricots,2008,2008,t,3400,E,Estimated value,
QCL,Crops and livestock products,554,New Zealand,5312,Area harvested,1343,Apricots,2009,2009,ha,426,A,Official figure,
QCL,Crops and livestock products,554,New Zealand,5510,Production,1343,Apricots,2009,2009,t,3200,E,Estimated value,
QCL,Crops and livestock products,554,New Zealand,5312,Area harvested,1343,Apricots,2010,2010,ha,454,I,Imputed value,
QCL,Crops and livestock products,554,New Zealand,5510,Production,1343,Apricots,2010,2010,t,3415.76,I,Imputed value,
QCL,Crops and livestock products,554,New Zealand,5312,Area harvested,1343,Apricots,2011,2011,ha,423,A,Official figure,
QCL,Crops and livestock products,554,New Zealand,5510,Production,1343,Apricots,2011,2011,t,3220.23,I,Imputed value,
QCL,Crops and livestock products,554,New Zealand,5312,Area harvested,1343,Apricots,2012,2012,ha,434,A,Official figure,
QCL,Crops and livestock products,554,New Zealand,5510,Production,1343,Apricots,2012,2012,t,3296.47,I,Imputed value,
QCL,Crops and livestock products,554,New Zealand,5312,Area harvested,1343,Apricots,2013,2013,ha,457,I,Imputed value,
QCL,Crops and livestock products,554,New Zealand,5510,Production,1343,Apricots,2013,2013,t,3436.26,I,Imputed value,
QCL,Crops and livestock products,554,New Zealand,5312,Area harvested,1343,Apricots,2014,2014,ha,530,A,Official figure,
QCL,Crops and livestock products,554,New Zealand,5510,Production,1343,Apricots,2014,2014,t,3943.94,I,Imputed value,
QCL,Crops and livestock products,554,New Zealand,5312,Area harvested,1343,Apricots,2015,2015,ha,438,I,Imputed value,
QCL,Crops and livestock products,554,New Zealand,5510,Production,1343,Apricots,2015,2015,t,3275.55,I,Imputed value,
QCL,Crops and livestock products,554,New Zealand,5312,Area harvested,1343,Apricots,2016,2016,ha,421,I,Imputed value,
QCL,Crops and livestock products,554,New Zealand,5510,Production,1343,Apricots,2016,2016,t,3094.87,I,Imputed value,
QCL,Crops and livestock products,554,New Zealand,5312,Area harvested,1343,Apricots,2017,2017,ha,445,A,Official figure,
QCL,Crops and livestock products,554,New Zealand,5510,Production,1343,Apricots,2017,2017,t,3266.62,I,Imputed value,
QCL,Crops and livestock products,554,New Zealand,5312,Area harvested,1343,Apricots,2018,2018,ha,392,I,Imputed value,
