Item Code (CPC),Year,Item,ProductionUnit,Production,ValueUnit,Value,AreaUnit,Area,UnitPrice,UnitPrice_unit,HaPrice,HaPrice_unit
111,2000,Wheat,t,326000,1000 Int$,77207,ha,52500,0.2368312883435583,1000 Int$ per t,1.4706095238095238,1000 Int$ per ha
111,2001,Wheat,t,364000,1000 Int$,86206,ha,49000,0.23682967032967034,1000 Int$ per t,1.7593061224489797,1000 Int$ per ha
111,2002,Wheat,t,301499,1000 Int$,71404,ha,42187,0.236829972902066,1000 Int$ per t,1.692559319221561,1000 Int$ per ha
111,2003,Wheat,t,318916,1000 Int$,75529,ha,42600,0.23683038793914385,1000 Int$ per t,1.772981220657277,1000 Int$ per ha
111,2004,Wheat,t,255860,1000 Int$,60596,ha,39062,0.23683264285155944,1000 Int$ per t,1.5512774563514413,1000 Int$ per ha
111,2005,Wheat,t,318947,1000 Int$,75536,ha,39415,0.23682931646950747,1000 Int$ per t,1.9164277559304834,1000 Int$ per ha
111,2006,Wheat,t,261798,1000 Int$,62002,ha,37962,0.2368314502020642,1000 Int$ per t,1.6332648437911597,1000 Int$ per ha
111,2007,Wheat,t,344434,1000 Int$,81573,ha,40538,0.2368320200677053,1000 Int$ per t,2.0122601016330357,1000 Int$ per ha
111,2008,Wheat,t,343350,1000 Int$,81316,ha,42326,0.23683122178535024,1000 Int$ per t,1.9211831970892597,1000 Int$ per ha
111,2009,Wheat,t,403463,1000 Int$,95552,ha,53854,0.23682964732825562,1000 Int$ per t,1.77427860511754,1000 Int$ per ha
111,2010,Wheat,t,444890,1000 Int$,105364,ha,54762,0.2368315763447144,1000 Int$ per t,1.9240349147218874,1000 Int$ per ha
111,2011,Wheat,t,383262,1000 Int$,90768,ha,52604,0.23683015795982904,1000 Int$ per t,1.7254961599878336,1000 Int$ per ha
111,2012,Wheat,t,488614,1000 Int$,115719,ha,54750,0.23683111822420153,1000 Int$ per t,2.1135890410958904,1000 Int$ per ha
111,2013,Wheat,t,447799,1000 Int$,106053,ha,49180,0.23683170350983365,1000 Int$ per t,2.1564253761691745,1000 Int$ per ha
111,2014,Wheat,t,413497,1000 Int$,97929,ha,47932,0.2368312224756165,1000 Int$ per t,2.0430818659768004,1000 Int$ per ha
111,2015,Wheat,t,413533,1000 Int$,97937,ha,47685,0.23682995069317322,1000 Int$ per t,2.053832442067736,1000 Int$ per ha
111,2016,Wheat,t,459349,1000 Int$,108788,ha,49945,0.23683081926813818,1000 Int$ per t,2.1781559715687258,1000 Int$ per ha
111,2017,Wheat,t,405182.3,1000 Int$,95960,ha,41075,0.2368316681158086,1000 Int$ per t,2.336214242239805,1000 Int$ per ha
111,2018,Wheat,t,371026.79,1000 Int$,87871,ha,41411,0.23683195491085698,1000 Int$ per t,2.121924126439835,1000 Int$ per ha
111,2019,Wheat,t,398092,1000 Int$,94280,ha,44971,0.2368296775619706,1000 Int$ per t,2.096462164506015,1000 Int$ per ha
111,2020,Wheat,t,453749,1000 Int$,107462,ha,45680,0.23683137593691667,1000 Int$ per t,2.352495621716287,1000 Int$ per ha
111,2021,Wheat,t,422831,1000 Int$,100139,ha,43536,0.23682984454782172,1000 Int$ per t,2.3001424108783537,1000 Int$ per ha
111,2022,Wheat,t,402557,1000 Int$,95338,ha,42871,0.236831057465154,1000 Int$ per t,2.2238342935784097,1000 Int$ per ha
111,2023,Wheat,t,391615,1000 Int$,92746,ha,40506,0.23682953921581146,1000 Int$ per t,2.289685478694514,1000 Int$ per ha
112,2000,Maize (corn),t,181000,1000 Int$,36332,ha,17700,0.2007292817679558,1000 Int$ per t,2.0526553672316386,1000 Int$ per ha
